YrFireName,Fire,Dataset,N,yr_fire,Latitude,Longitude,Elevation,month_fire,day_fire,Fire_type,State,Sample_design,Plot_size_ha,Threshold_diameter_cm,Study_purpose,,,,
2006 - Bear,Bear,Westlind,262,2006,42.425827,-120.224726,2058,10,1,Wild,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2006 - Buffalo,Buffalo,Battaglia,590,2006,44.116661,-103.533339,1574,10,NA,RX,South Dakota,Fixed-area plot,0.001225,0.25; trees larger than 10 cm DBH not sampled,Tree Mortality,,,,
2006 - Bullock,Bullock,Battaglia,437,2006,43.999996,-103.533335,1559,1,24,Rx,South Dakota,Nested fixed-area plot,0.07 and 0.00125,0.25 and 0; trees larger than 10 cm DBH not sampled,Tree Mortality,,,,
2006 - Burnt Valley 10,Burnt Valley 10,Westlind,200,2006,48.403049,-117.623895,913,10,1,Rx,Washington,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2006 - Burnt Valley 4,Burnt Valley 4,Westlind,235,2006,48.394162,-117.621949,985,10,1,Rx,Washington,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2006 - Columbia,Columbia,Progar,928,2006,46.221475,-117.8127,984,8,21,Wild,Washington,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2006 - ELMA East Rendija,ELMA East Rendija,NPS,56,2006,34.949403,-108.114502,2359,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2006 - Geophysical,Geophysical,Westlind,297,2006,48.265552,-117.129723,762,10,1,Rx,Washington,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2006 - GRCA Long Jim 2,GRCA Long Jim 2,NPS,64,2006,36.013177,-112.102591,2100,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2006 - GRCA Rx300,GRCA Rx300,NPS,17,2006,36.005551,-112.055616,2183,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2006 - Lafferty Gulch,Lafferty Gulch,Battaglia,713,2006,43.883325,-103.433341,1412,2,26,Wild,South Dakota,Nested fixed-area plot,0.07 and 0.00125,0.25 and 0; trees larger than 10 cm DBH not sampled,Tree Mortality,,,,
2006 - Lick,Lick,Westlind,444,2006,46.258052,-117.443341,1266,10,1,Rx,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2006 - Mitten,Mitten,Westlind,743,2006,42.409719,-120.79862,1756,10,1,Rx,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2006 - Northeastern Cascades Mission Creek WA 2006,Northeastern Cascades Mission Creek WA 2006,Bakker,433,2006,47.394304,-120.482139,723,NA,NA,RX,Washington,Fixed-area plot,0.1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2006 - SEKI 74 Reburn,SEKI 74 Reburn,NPS,15,2006,36.70666304,-118.9205401,1903,7,5,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2006 - Shake Table,Shake Table,Progar,635,2006,44.296358,-119.247974,1467,8,1,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2006 - Sharps Ridge,Sharps Ridge,Progar,443,2006,44.81599,-118.752351,1944,8,19,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2006 - Sheep Creek,Sheep Creek,Westlind,146,2006,46.189991,-117.62501,1092,10,1,Wild,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2006 - Sisters,Sisters,Progar,783,2006,44.324927,-121.617641,1004,8,1,RX,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2006 - Stateline,Stateline,Westlind,749,2006,42.049443,-120.856396,1690,10,1,Rx,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2006 - Tripod,Tripod,Prichard,7707,2006,48.581953,-120.071814,1306,6,4,Wild,Washington,Fixed-area plot; Nested fixed-area plot,0.2 ha thinned plots; 0.08 ha unthinned plots.,"10 cm thinned plots;  In unthinned stands, trees 0.1 cm to 10 cm dbh were sampled in nested subplots.",Fuel Treatment Effects; Tree Mortality,,,,
2006 - Tripod,Tripod,Westlind,1161,2006,48.581953,-120.071814,1306,6,4,Wild,Washington,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2006 - ZION East Mesa,ZION East Mesa,NPS,98,2006,37.294557,-112.917952,2022,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - Angora,Angora,Stevens,444,2007,38.885294,-120.0365,1939,6,24,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2007 - Antelope,Antelope,Stevens,120,2007,40.141198,-120.575104,1733,7,5,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2007 - CRLA Cornerstone,CRLA Cornerstone,NPS,44,2007,43.081721,-122.012488,1621,NA,NA,RX,Oregon,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - Egley,Egley,Progar,527,2007,43.735593,-119.436973,1625,7,6,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2007 - Grapple,Grapple,Progar,260,2007,44.018098,-118.81489,1630,7,1,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2007 - Grass Valley,Grass Valley,Stevens,120,2007,34.267388,-117.230106,1696,10,22,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2007 - GRCA Grandview,GRCA Grandview,NPS,31,2007,35.98896,-111.994372,2280,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - GRCA Lonetree,GRCA Lonetree,NPS,9,2007,35.996648,-112.089361,2115,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - GRCA NW 1_3_5,GRCA NW 1_3_5,NPS,171,2007,36.344867,-112.268997,2475,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - GRCA Roost,GRCA Roost,NPS,27,2007,36.274949,-112.194794,2498,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - GRCA Tusayan,GRCA Tusayan,NPS,15,2007,36.000828,-112.114317,2072,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - GRCA Uncle Jim,GRCA Uncle Jim,NPS,66,2007,36.233005,-112.034161,2557,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - GRCA Walhalla,GRCA Walhalla,NPS,122,2007,36.236609,-111.988147,2587,NA,NA,PNF,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - Monument,Monument,Progar,445,2007,44.937492,-119.510563,965,7,12,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2007 - Monument,Monument,Westlind,484,2007,44.937492,-119.510563,965,7,12,Wild,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2007 - Neola North,Neola North,Lerch,1772,2007,40.589123,-110.025221,2899,6,29,Wild,Utah,Fixed-area plot,lodgepole plots 0.02 ha and ponderosa plots 0.04 ha,12.7,Fire-insect Interactions; Tree Mortality,,,,
2007 - Norris RX,Norris RX,Smith,103,2007,44.723195,-110.694635,2313,9,7,RX,Wyoming,Fixed-area plot,0.125,2.5,Fire Effects; Forest Dynamics; Tree Mortality,,,,
2007 - Owen,Owen,Westlind,750,2007,42.342495,-120.877505,1527,5,1,Rx,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2007 - Promontory,Promontory,Smith,64,2007,44.374833,-110.277336,2403,8,9,Wild,Wyoming,Fixed-area plot,0.125,2.5,Fire Effects; Forest Dynamics; Tree Mortality,,,,
2007 - PW-4,PW-4 ,USGS_Demog,3218,2007,37.8012519,-119.8694303,1500,6,6,RX,California,Fixed-area plot,1,0.1,Forest Dynamics,,,,
2007 - SEKI Wall Spring Rx,SEKI Wall Spring Rx,NPS,59,2007,36.554487,-118.773218,1927,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - ZION Pine Valley Peak,ZION Pine Valley Peak,NPS,16,2007,37.34030943,-113.0905417,1937,10,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2007 - ZION Three Finger Mesa,ZION Three Finger Mesa,NPS,80,2007,37.365777,-112.985726,2042,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2008 - American River Complex,American River Complex,Stevens,120,2008,39.229879,-120.63515,1609,6,21,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2008 - BRCA Puma,BRCA Puma,NPS,258,2008,37.519645,-112.270528,2631,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2008 - BRCA Residential,BRCA Residential,NPS,40,2008,37.63591145,-112.1786322,2421,5,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2008 - Cascadel,Cascadel,Stevens,40,2008,37.251173,-119.440191,1721,7,11,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2008 - ELMA Agua Fria,ELMA Agua Fria,NPS,64,2008,34.982286,-108.033469,2273,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2008 - Gunbarrel,Gunbarrel,Harvey,4137,2008,44.495371,-109.695892,1994,9,11,Wild,Wyoming,Fixed-area plot,0.07,0.1,Fire-insect Interactions; Forest Dynamics; Remote Sensing,,,,
2008 - LAVO Butte Lake,LAVO Butte Lake,NPS,15,2008,40.581287,-121.29656,1794,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2008 - Lower Middle Mountain,Lower Middle Mountain,Roccaforte,2463,2008,37.291911,-107.229967,2466,10,NA,RX,Colorado,Fixed-area plot,0.04,0 (every tree counted),Forest Restoration Treatment Evaluation,,,,
2008 - Mineral Ecosystem Management Area,Mineral Ecosystem Management Area,Roccaforte,4791,2008,34.16666,-109.633335,2520,10,NA,RX,Arizona,Fixed-area plot,0.04,0 (every tree counted),Forest Restoration Treatment Evaluation,,,,
2008 - New Fork,New Fork,Harvey,11131,2008,43.091132,-109.91709,2619,NA,NA,Wild,Wyoming,Fixed-area plot,0.07,0.1,Fire-insect Interactions; Forest Dynamics; Remote Sensing,,,,
2008 - Peterson,Peterson,Stevens,180,2008,40.894968,-121.317015,1313,8,24,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2008 - Piute,Piute,Stevens,140,2008,35.48923,-118.356771,2267,6,29,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2008 - Rich,Rich,Stevens,120,2008,40.061369,-121.124426,1872,6,28,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2008 - SEKI Crystal,SEKI Crystal,NPS,88,2008,36.60068116,-118.8102175,1922,9,10,Wild,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2008 - WHIS Sunshine,WHIS Sunshine,NPS,10,2008,40.635762,-122.526897,646,NA,NA,Wild,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2008 - WHIS White Rock,WHIS White Rock,NPS,15,2008,40.646059,-122.538143,508,NA,NA,Wild,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2008 - ZION East Mesa,ZION East Mesa,NPS,43,2008,37.29455676,-112.9179515,2022,5,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2008 - ZION Three Finger Mesa,ZION Three Finger Mesa,NPS,92,2008,37.36577708,-112.9857257,2042,10,NA,Rx,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2009 - CRCRPIPO,Big Meadow,USGS_Demog,1518,2009,37.73075469,-119.7692514,1637,8,26,Wild,California,Fixed-area plot,1,0.1,forest dynamics,,,,
2009 - GRCA Hearst,GRCA Hearst,NPS,39,2009,35.970416,-111.970228,2264,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2009 - GRCA Picnic,GRCA Picnic,NPS,19,2009,36.028934,-112.120147,2108,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2009 - GRCA Walhalla,GRCA Walhalla,NPS,170,2009,36.146297,-111.951158,2427,NA,NA,NA,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2009 - Milford,Milford,Stevens,76,2009,40.106457,-120.39571,1724,4,4,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2009 - REDW Eastside,REDW Eastside,Engber,78,2009,41.147049,-123.867833,868,10,1,RX,California,Individual tree,NA,NA,Tree mortality,,,,
2009 - REDW Eastside,REDW Eastside,NPS,54,2009,41.147049,-123.867833,868,10,1,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2009 - Silver,Silver,Stevens,120,2009,39.953982,-121.089119,1303,9,19,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2010 - CRLA Phoenix,CRLA Phoenix,NPS,254,2010,43.062247,-122.005665,1593,NA,NA,Wild,Oregon,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2010 - Gilles Creek,Gilles Creek,Rogers,823,2010,64.332224,-145.763373,366,5,26,Wild,Alaska,Fixed-area plot,0.006,0 (every tree counted),Carbon Emissions,,,,
2011 - Cougar,Cougar,Stevens,80,2011,41.632636,-121.420813,1427,9,11,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2011 - East Fork,East Fork,Harvey,200,2011,45.849158,-115.019204,1992,NA,NA,Wild,Idaho,Fixed-area plot,0.07,0.1,Fire-insect Interactions; Forest Dynamics; Remote Sensing,,,,
2011 - Forty One Complex,Forty One Complex,Harvey,279,2011,46.25004,-113.835676,2038,NA,NA,Wild,Montana,Fixed-area plot,0.07,0.1,Fire-insect Interactions; Forest Dynamics; Remote Sensing,,,,
2011 - Grayhills,Grayhills,Harvey,145,2011,43.615039,-110.320232,2567,NA,NA,Wild,Wyoming,Fixed-area plot,0.07,0.1,Fire-insect Interactions; Forest Dynamics; Remote Sensing,,,,
2011 - High Peak,High Peak,McDaniel,2036,2011,34.471122,-93.614938,377,7,29,Wild,Arkansas,Fixed-area plot,0.03,2.5,Tree Mortality,,,,
2011 - Lutz,Lutz,Harvey,90,2011,46.184495,-113.668068,2103,NA,NA,Wild,Montana,Fixed-area plot,0.07,0.1,Fire-insect Interactions; Forest Dynamics; Remote Sensing,,,,
2011 - Puzzle,Puzzle,Harvey,201,2011,48.208192,-113.252763,1907,NA,NA,Wild,Montana,Fixed-area plot,0.07,0.1,Fire-insect Interactions; Forest Dynamics; Remote Sensing,,,,
2011 - Red Rock,Red Rock,Harvey,1193,2011,43.550948,-110.335573,2607,NA,NA,Wild,Wyoming,Fixed-area plot,0.07,0.1,Fire-insect Interactions; Forest Dynamics; Remote Sensing,,,,
2011 - Saddle Complex,Saddle Complex,Harvey,458,2011,45.503957,-114.46461,1853,NA,NA,Wild,Idaho,Fixed-area plot,0.07,0.1,Fire-insect Interactions; Forest Dynamics; Remote Sensing,,,,
2011 - Salt,Salt,Harvey,513,2011,44.967853,-114.171423,2620,NA,NA,Wild,Idaho,Fixed-area plot,0.07,0.1,Fire-insect Interactions; Forest Dynamics; Remote Sensing,,,,
2011 - Wallow,Wallow,Roccaforte,1342,2011,33.883326,-109.300005,2629,5,11,Wild,Arizona,Fixed-area plot,0.04,0 (every tree counted),Wildfire Effects,,,,
2012 - Little Sands,Little Sands,Andrus,690,2012,37.46882,-107.30355,2971,5,13,Wild,Colorado,Fixed-area plot,0.04,4,Fire-insect Interactions; Tree Mortality,,,,
2012 - Poison,Poison,Bakker,1444,2012,47.457614,-120.514834,628,NA,NA,Wild,Washington,Fixed-area plot,0.1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2012 - Pole Creek,Pole Creek,Agne,2402,2012,44.177581,-121.676697,1506,9,9,Wild,Oregon,Fixed-area plot,0.04,5,Fire-insect Interactions; Forest Dynamics,,,,
2012 - Pole Creek,Pole Creek,Vaillant,2545,2012,44.177581,-121.676697,1506,9,9,Wild,Oregon,Nested fixed-area plot,0.082754 and 0.0225,15 and 5.0,Fire Effects; Forest Dynamics; Remote Sensing,,,,
2013 - East Fork,East Fork,Andrus,321,2013,38.209918,-107.485546,3454,6,15,Wild,Colorado,Fixed-area plot,0.04,4,Fire-insect Interactions; Tree Mortality,,,,
2013 - Mountain,Mountain,Coleman,191,2013,33.710299,-116.706217,1447,7,15,Wild,California,Individual tree,NA,16.5,Fire-insect Interactions; Tree Mortality,,,,
2013 - Papoose,Papoose,Andrus,1084,2013,37.736057,-107.163435,3243,6,5,Wild,Colorado,Fixed-area plot,0.04,4,Fire-insect Interactions; Tree Mortality,,,,
2013 - Rim,Rim,Cluck,200,2013,37.901918,-120.083587,1218,8,17,Wild,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
2013 - Salmon Complex,Salmon Complex,Cluck,200,2013,41.31864,-123.1824,711,7,31,Wild,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
2013 - Westfork,Westfork,Andrus,1564,2013,37.551838,-106.872494,3521,6,5,Wild,Colorado,Fixed-area plot,0.04,4,Fire-insect Interactions; Tree Mortality,,,,
2013 - Windy Pass,Windy Pass,Andrus,438,2013,37.446393,-106.823459,3210,6,5,Wild,Colorado,Fixed-area plot,0.04,4,Fire-insect Interactions; Tree Mortality,,,,
2014 - Carlton Complex,Carlton Complex,Dickinson,3490,2014,48.232886,-119.950713,1058,7,14,Wild,Washington,Nested fixed-area plot,0.08 and 0.008,14.9 and 0.1,Fire-insect Interactions; Tree Mortality,,,,
2014 - Driggs River Road,Driggs River Road,Corace,28,2014,46.331816,-86.117542,229,8,5,RX,Michigan,Fixed-area plot,0.01,12.7,Fuel Treatment Effects; Tree Mortality; Wildlife Response,,,,
2014 - San Juan,San Juan,Roccaforte,3415,2014,34.166667,-109.633333,2520,6,26,Wild,Arizona,Fixed-area plot,0.04,0 (every tree counted),Wildfire Effects,,,,
2015 - Grizzly,Grizzly,Hood_Idaho,1135,2015,47.806091,-116.108653,1132,NA,NA,Wild,Idaho,Fixed-area plot,0.04,12.7,Forest Dynamics; Tree Mortality,,,,
2015 - Paradise,Paradise,Kopper,60,2015,47.694386,-123.821153,207,5,15,Wild,Washington,Fixed-area plot,0.2; four 0.4988 ha subplots,0.1,Forest Dynamics,,,,
2015 - Tower,Tower,Hood_Idaho,1021,2015,48.463209,-117.127832,1295,NA,NA,Wild,Washington,Fixed-area plot,0.04,12.7,Forest Dynamics; Tree Mortality,,,,
2015 - Wooded Hills,Wooded Hills,Coleman,354,2015,32.853365,-116.438072,1832,2,5,RX,California,Individual tree,NA,11.4,Fire-insect Interactions; Tree Mortality,,,,
2016 - Angel,Angel,FERA,220,2016,46.800265,-121.08347,874,9,27,RX,Washington,Nested fixed-area plot,0.0707 and 0.0013,5 and 0.1,Fuel Treatment Effects; Tree Mortality,,,,
2016 - Chumstick ZUI,Chumstick ZUI,FERA,152,2016,47.674619,-120.538474,805,10,4,RX,Washington,Nested fixed-area plot,0.0707 and 0.0013,5 and 0.1,Fuel Treatment Effects; Tree Mortality,,,,
2016 - Maple,Maple,Smith,52,2016,44.673233,-110.977518,2091,8,NA,Wild,Wyoming,Fixed-area plot,0.02,0.1,Fire Effects; Forest Dynamics; Tree Mortality,,,,
2016 - Orion 2,Orion 2,FERA,278,2016,47.326231,-120.685703,1012,9,22,RX,Washington,Nested fixed-area plot,0.0707 and 0.0013,5 and 0.1,Fuel Treatment Effects; Tree Mortality,,,,
2016 - Paradise 90,Paradise 90,FERA,100,2016,48.549083,-118.387639,1030,9,28,RX,Washington,Nested fixed-area plot,0.0707 and 0.0013,5 and 0.1,Fuel Treatment Effects; Tree Mortality,,,,
