YrFireName,Fire,Dataset,N,yr_fire,Latitude,Longitude,Elevation,month_fire,day_fire,Fire_type,State,Sample_design,Plot_size_ha,Threshold_diameter_cm,Study_purpose,,,,
2000 - Stag-Tobin,Stag-Tobin,Sieg,1637,2000,45.496798,-106.236204,1057,7,26,Wild,Montana,Fixed-area plot,0.2,5.1,Fire-insect Interactions; Tree Mortality,,,,
2000 - Storrie,Storrie,Hood,198,2000,40.027442,-121.287197,1317,NA,NA,Wild,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
2000 - Volcano Spring,Volcano Spring,Hood,85,2000,39.159805,-120.664729,1562,NA,NA,RX,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
2000 - ZION Pine Valley Peak,ZION Pine Valley Peak,NPS,37,2000,37.340309,-113.090542,1937,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - BRCA East Creek Ridge,BRCA East Creek Ridge,NPS,128,2001,37.612851,-112.177508,2451,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Central Appalachian Plateau Ohio Hills 52,Central Appalachian Plateau Ohio Hills 52,McIver,403,2001,39.212219,-82.386588,247,NA,NA,RX,Ohio,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Central Appalachian Plateau Ohio Hills 53,Central Appalachian Plateau Ohio Hills 53,McIver,403,2001,39.200002,-82.390239,272,NA,NA,RX,Ohio,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Central Appalachian Plateau Ohio Hills 56,Central Appalachian Plateau Ohio Hills 56,McIver,424,2001,39.331233,-82.767238,310,NA,NA,RX,Ohio,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Central Appalachian Plateau Ohio Hills 57,Central Appalachian Plateau Ohio Hills 57,McIver,430,2001,39.334768,-82.765227,305,NA,NA,RX,Ohio,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Central Appalachian Plateau Ohio Hills 60,Central Appalachian Plateau Ohio Hills 60,McIver,481,2001,39.355151,-82.365246,278,NA,NA,RX,Ohio,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Central Appalachian Plateau Ohio Hills 61,Central Appalachian Plateau Ohio Hills 61,McIver,327,2001,39.352747,-82.37041,274,NA,NA,RX,Ohio,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - CRLA Timber Crater 1 (TC1),CRLA Timber Crater 1 (TC1),NPS,104,2001,43.043166,-122.002573,1592,NA,NA,RX,Oregon,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - CRLA Timber Crater 2 (TC2),CRLA Timber Crater 2 (TC2),NPS,144,2001,43.028705,-122.003764,1603,NA,NA,RX,Oregon,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - FSS2,FFS2,USGS_Demog,507,2001,36.59505986,-118.7469705,2128,9,28,RX,California,Fixed-area plot,1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - FSS5,FFS5,USGS_Demog,392,2001,36.58480657,-118.755245,2030,10,17,RX,California,Fixed-area plot,1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - FSS6,FFS6,USGS_Demog,336,2001,36.58518457,-118.7595567,2018,10,28,RX,California,Fixed-area plot,1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - GRCA Walhalla,GRCA Walhalla,NPS,274,2001,36.146297,-111.951158,2427,NA,NA,PNF,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - GRCA Walla Valley,GRCA Walla Valley,NPS,256,2001,36.294775,-112.223841,2435,NA,NA,PNF,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Green Knoll,Green Knoll,Hood,300,2001,43.439162,-110.910677,2096,7,26,Wild,Wyoming,Fixed-area plot,0.04,12.7,Fire-insect Interactions; Tree Mortality,,,,
2001 - Leroux,Leroux,Roccaforte,1073,2001,35.299992,-111.68334,2659,6,10,Wild,Arizona,Nested fixed-area plot,0.1 and 0.0.25,15 and 2.5,Landscape Variability; Wildfire Effects,,,,
2001 - Little Joe,Little Joe,Smith,96,2001,45.050861,-110.826873,2500,7,14,Wild,Wyoming,Fixed-area plot,0.125,2.5,Fire Effects; Forest Dynamics; Tree Mortality,,,,
2001 - Moose,Moose,Hood,1299,2001,48.641619,-114.189244,1431,8,16,Wild,Montana,Fixed-area plot,0.04,10.16,Fire-insect Interactions; Tree Mortality,,,,
2001 - Quartz,Quartz,Progar,28,2001,42.101467,-122.882059,1320,8,15,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2001 - Rogers Shack,Rogers Shack,Sieg,1361,2001,43.658558,-103.842182,1529,7,30,Wild,South Dakota,Fixed-area plot,0.2,5.1,Fire-insect Interactions; Tree Mortality,,,,
2001 - Southeastern Piedmont Clemson SC 66,Southeastern Piedmont Clemson SC 66,McIver,358,2001,34.580453,-82.834735,226,NA,NA,RX,South Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Southeastern Piedmont Clemson SC 68,Southeastern Piedmont Clemson SC 68,McIver,515,2001,34.729586,-82.849362,228,NA,NA,RX,South Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
